Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
1_13,KO,GAPDH,14.11,14.225,,,,,,,,-4.91,-4.9425,0.195,0.873572896,-1.144724161
1_13,KO,GAPDH,14.34,,,,0.642950231,,,,,,,,,
4_1,KO,GAPDH,14.34,14.675,,,12.78034954,,,,,-4.72,,,,
4_1,KO,GAPDH,15.01,,,,15.35215046,,,,,,,,,
4_4,KO,GAPDH,14.29,14.195,,,,,,,,-4.885,,,,
4_4,KO,GAPDH,14.1,,,,,,,,,,,,,
9_3,KO,GAPDH,13.57,13.475,,,,,,,,-5.255,,,,
9_3,KO,GAPDH,13.38,,,,,,,,,,,,,
2_1,WT,GAPDH,13.25,13.285,,,,,,,,-5.26,-5.1375,,,
2_1,WT,GAPDH,13.32,,,,,,,,,,,,,
2_3,WT,GAPDH,13.7,13.71,,,,,,,,-5.295,,,,
2_3,WT,GAPDH,13.72,,,,,,,,,,,,,
3_5,WT,GAPDH,15.24,15.215,,,,,,,,-4.795,,,,
3_5,WT,GAPDH,15.19,,,,,,,,,,,,,
9_1,WT,GAPDH,13.94,13.75,,,,,,,,-5.2,,,,
9_1,WT,GAPDH,13.56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Herc3,20.43,20.51,6.285,6.295,0.15,0.901250463,-1.109569472,,,1.375,1.3525,0.345,0.787307977,-1.270150983
1_13,KO,Herc3,20.59,,,,,,,,,,,,,
4_1,KO,Herc3,21,21.035,6.36,,0.512270855,,,,,1.64,,,,
4_1,KO,Herc3,21.07,,,,19.41295829,,,,,,,,,
4_4,KO,Herc3,20.62,20.495,6.3,,21.46204171,,,,,1.415,,,,
4_4,KO,Herc3,20.37,,,,,,,,,,,,,
9_3,KO,Herc3,19.69,19.71,6.235,,,,,,,0.98,,,,
9_3,KO,Herc3,19.73,,,,,,,,,,,,,
2_1,WT,Herc3,19.68,19.655,6.37,6.145,,,,,,1.11,1.0075,,,
2_1,WT,Herc3,19.63,,,,,,,,,,,,,
2_3,WT,Herc3,20.38,20.435,6.725,,0.423218957,,,,,1.43,,,,
2_3,WT,Herc3,20.49,,,,19.28856209,,,,,,,,,
3_5,WT,Herc3,20.68,20.595,5.38,,20.98143791,,,,,0.585,,,,
3_5,WT,Herc3,20.51,,,,,,,,,,,,,
9_1,WT,Herc3,19.93,19.855,6.105,,,,,,,0.905,,,,
9_1,WT,Herc3,19.78,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Hes6,19.07,19.285,5.06,5.46375,-1.565,2.958775018,-0.337977708,,,0.15,0.52125,-1.37,2.584705661,-0.386891248
1_13,KO,Hes6,19.5,,,,,,,,,,,,,
4_1,KO,Hes6,19.01,19.29,4.615,,0.527309546,,,,,-0.105,,,,
4_1,KO,Hes6,19.57,,,,18.55163091,,,,,,,,,
4_4,KO,Hes6,19.42,19.46,5.265,,20.66086909,,,,,0.38,,,,
4_4,KO,Hes6,19.5,,,,,,,,,,,,,
9_3,KO,Hes6,20.3,20.39,6.915,,,,,,,1.66,,,,
9_3,KO,Hes6,20.48,,,,,,,,,,,,,
2_1,WT,Hes6,20.5,20.62,7.335,7.02875,,,,,,2.075,1.89125,,,
2_1,WT,Hes6,20.74,,,,,,,,,,,,,
2_3,WT,Hes6,20.76,20.86,7.15,,0.324980769,,,,,1.855,,,,
2_3,WT,Hes6,20.96,,,,20.36878846,,,,,,,,,
3_5,WT,Hes6,21.22,21.29,6.075,,21.66871154,,,,,1.28,,,,
3_5,WT,Hes6,21.36,,,,,,,,,,,,,
9_1,WT,Hes6,21.28,21.305,7.555,,,,,,,2.355,,,,
