Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
5_1,KO,GAPDH,13.14,12.365,,,,,,,,-5.995,-5.43375,-0.3775,1.299088755,-0.769770346
5_1,KO,GAPDH,11.59,,,,,,,,,,,,,
6_8,KO,GAPDH,14.07,13.865,,,,,,,,-5.145,,,,
6_8,KO,GAPDH,13.66,,,,,,,,,,,,,
7_2,KO,GAPDH,14.69,14.855,,,,,,,,-5.275,,,,
7_2,KO,GAPDH,15.02,,,,,,,,,,,,,
7_6,KO,GAPDH,14.09,13.91,,,,,,,,-5.32,,,,
7_6,KO,GAPDH,13.73,,,,,,,,,,,,,
6_4,WT,GAPDH,14.32,14.25,,,,,,,,-5.145,-5.05625,,,
6_4,WT,GAPDH,14.18,,,,,,,,,,,,,
6_6,WT,GAPDH,14.56,14.355,,,,,,,,-5.055,,,,
6_6,WT,GAPDH,14.15,,,,,,,,,,,,,
7_1,WT,GAPDH,14.64,14.425,,,,,,,,-5.035,,,,
7_1,WT,GAPDH,14.21,,,,,,,,,,,,,
7_5,WT,GAPDH,15.05,14.81,,,,,,,,-4.99,,,,
7_5,WT,GAPDH,14.57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Herc3,19.52,19.47,7.105,6.58,0.20875,0.86528662,-1.155686424,,,1.11,1.14625,-0.16875,1.124084118,-0.889613138
5_1,KO,Herc3,19.42,,,,,,,,,,,,,
6_8,KO,Herc3,20.47,20.285,6.42,,,,,,,1.275,,,,
6_8,KO,Herc3,20.1,,,,,,,,,,,,,
7_2,KO,Herc3,21.13,21.27,6.415,,,,,,,1.14,,,,
7_2,KO,Herc3,21.41,,,,,,,,,,,,,
7_6,KO,Herc3,20.37,20.29,6.38,,,,,,,1.06,,,,
7_6,KO,Herc3,20.21,,,,,,,,,,,,,
6_4,WT,Herc3,20.67,20.6,6.35,6.37125,,,,,,1.205,1.315,,,
6_4,WT,Herc3,20.53,,,,,,,,,,,,,
6_6,WT,Herc3,21.32,21.12,6.765,,,,,,,1.71,,,,
6_6,WT,Herc3,20.92,,,,,,,,,,,,,
7_1,WT,Herc3,20.71,20.545,6.12,,,,,,,1.085,,,,
7_1,WT,Herc3,20.38,,,,,,,,,,,,,
7_5,WT,Herc3,21.2,21.06,6.25,,,,,,,1.26,,,,
7_5,WT,Herc3,20.92,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Hes6,21.11,21.11,8.745,8.37,-1.01375,2.019152672,-0.49525725,,,2.75,2.93625,-1.39125,2.62305853,-0.381234345
5_1,KO,Hes6,21.11,,,,,,,,,,,,,
6_8,KO,Hes6,22.16,21.97,8.105,,,,,,,2.96,,,,
6_8,KO,Hes6,21.78,,,,,,,,,,,,,
7_2,KO,Hes6,23.15,22.97,8.115,,,,,,,2.84,,,,
7_2,KO,Hes6,22.79,,,,,,,,,,,,,
7_6,KO,Hes6,22.33,22.425,8.515,,,,,,,3.195,,,,
7_6,KO,Hes6,22.52,,,,,,,,,,,,,
6_4,WT,Hes6,23.23,23.14,8.89,9.38375,,,,,,3.745,4.3275,,,
6_4,WT,Hes6,23.05,,,,,,,,,,,,,
6_6,WT,Hes6,24.03,23.865,9.51,,,,,,,4.455,,,,
6_6,WT,Hes6,23.7,,,,,,,,,,,,,
7_1,WT,Hes6,24.15,23.915,9.49,,,,,,,4.455,,,,
7_1,WT,Hes6,23.68,,,,,,,,,,,,,
7_5,WT,Hes6,24.55,24.455,9.645,,,,,,,4.655,,,,
7_5,WT,Hes6,24.36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Hprt,18.3,18.36,5.995,5.43375,0.3775,0.769770346,-1.299088755,,,,,,,
5_1,KO,Hprt,18.42,,,,,,,,,,,,,
6_8,KO,Hprt,19.2,19.01,5.145,,,,,,,,,,,
6_8,KO,Hprt,18.82,,,,,,,,,,,,,
7_2,KO,Hprt,20.19,20.13,5.275,,,,,,,,,,,
7_2,KO,Hprt,20.07,,,,,,,,,,,,,
7_6,KO,Hprt,19.23,19.23,5.32,,,,,,,,,,,
7_6,KO,Hprt,19.23,,,,,,,,,,,,,
6_4,WT,Hprt,19.54,19.395,5.145,5.05625,,,,,,,,,,
6_4,WT,Hprt,19.25,,,,,,,,,,,,,
6_6,WT,Hprt,19.65,19.41,5.055,,,,,,,,,,,
6_6,WT,Hprt,19.17,,,,,,,,,,,,,
7_1,WT,Hprt,19.69,19.46,5.035,,,,,,,,,,,
7_1,WT,Hprt,19.23,,,,,,,,,,,,,
7_5,WT,Hprt,20.02,19.8,4.99,,,,,,,,,,,
7_5,WT,Hprt,19.58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Hspb6,18.91,18.795,6.43,5.895,0.3525,0.783225695,-1.276771187,,,0.435,0.46125,-0.025,1.017479692,-0.982820599
5_1,KO,Hspb6,18.68,,,,,,,,,,,,,
6_8,KO,Hspb6,19.34,19.085,5.22,,,,,,,0.075,,,,
6_8,KO,Hspb6,18.83,,,,,,,,,,,,,
7_2,KO,Hspb6,20.98,20.835,5.98,,,,,,,0.705,,,,
7_2,KO,Hspb6,20.69,,,,,,,,,,,,,
7_6,KO,Hspb6,19.94,19.86,5.95,,,,,,,0.63,,,,
7_6,KO,Hspb6,19.78,,,,,,,,,,,,,
6_4,WT,Hspb6,19.7,19.49,5.24,5.5425,,,,,,0.095,0.48625,,,
6_4,WT,Hspb6,19.28,,,,,,,,,,,,,
6_6,WT,Hspb6,20.21,20.135,5.78,,,,,,,0.725,,,,
6_6,WT,Hspb6,20.06,,,,,,,,,,,,,
7_1,WT,Hspb6,20.2,20.02,5.595,,,,,,,0.56,,,,
7_1,WT,Hspb6,19.84,,,,,,,,,,,,,
7_5,WT,Hspb6,20.45,20.365,5.555,,,,,,,0.565,,,,
7_5,WT,Hspb6,20.28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Itsn1,19.87,19.71,7.345,6.97375,0.19375,0.874330117,-1.143732762,,,1.35,1.54,-0.18375,1.135832423,-0.880411564
5_1,KO,Itsn1,19.55,,,,,,,,,,,,,
6_8,KO,Itsn1,20.91,20.755,6.89,,,,,,,1.745,,,,
6_8,KO,Itsn1,20.6,,,,,,,,,,,,,
7_2,KO,Itsn1,21.69,21.52,6.665,,,,,,,1.39,,,,
7_2,KO,Itsn1,21.35,,,,,,,,,,,,,
