gapdh,,,,,,,,,hprt,,,,,,,,,geomean
name,foldchange,foldchange upper bound,foldchange lower bound,p-value,KO #,WT #,,,,name,foldchange,foldchange upper bound,foldchange lower bound,p-value,KO #,WT #,,,,name,foldchange,foldchange upper bound,foldchange lower bound,p-value,KO #,WT #
Arrdc3,-1.42652002587,-2.68107434968,1.31750754855,0.224621404434,10,11,,,,Arrdc3,-1.15734435144,-1.84250202773,1.37557027273,0.490094744657,10,11,,,,Arrdc3,-1.05894531857,-1.83677170656,1.63797817757,0.818044552595,10,11
Chrnb4,-1.27846758703,-1.97714578871,1.2096486647,0.190100331849,7,11,,,,Chrnb4,-1.28873209259,-1.98572764344,1.1956233675,0.172674581898,7,12,,,,Chrnb4,-1.33389276745,-1.99135663559,1.11919873356,0.105102673861,7,11
Clstn3,1.17373857187,-1.26725309047,1.74584672504,0.364684252384,9,11,,,,Clstn3,1.19287629966,-1.0083622876,1.43485301577,0.044131637264,9,11,,,,Clstn3,1.16003459774,-1.09022076882,1.46708857631,0.15472481898,8,10
Col18a1,1.58145225426,-1.11556372096,2.79001508541,0.078642338832,9,12,,,,Col18a1,1.25064008751,-1.24759418123,1.95136284297,0.270782220279,10,12,,,,Col18a1,1.19408065475,-1.21249177628,1.72880546407,0.257154417065,7,12
Col5a3,2.88440295932,1.21522535701,6.84628606846,0.0161899666954,10,11,,,,Col5a3,1.9312640846,-1.03185694326,3.84860038502,0.041012549867,8,11,,,,Col5a3,2.66622220222,1.2388979078,5.73795531245,0.0119659559704,10,11
Ezr,-1.20627225171,-2.07206818542,1.4240110757,0.436484163095,9,12,,,,Ezr,-1.09501221981,-2.01971014362,1.68442281511,0.744695814761,11,12,,,,Ezr,-1.14798266643,-1.96071846459,1.48780007908,0.566363112323,10,12
Fabp7,-1.54079426926,-3.92911923968,1.65503011208,0.315861168712,11,12,,,,Fabp7,-2.14776080985,-4.65483059695,1.00909499759,0.0371754483112,10,12,,,,Fabp7,-1.61343411013,-3.93215942985,1.51052754609,0.24589789913,11,12
H3f3b,1.13478913474,-1.18912143341,1.53128682164,0.345855353714,9,11,,,,H3f3b,1.37246820457,-1.05069719019,1.97916569672,0.070493203618,11,10,,,,H3f3b,1.06746464352,-1.29695070905,1.47785038634,0.655092370841,10,11
Igf2,-1.24652918985,-3.26514828692,2.10134811129,0.615774157078,11,12,,,,Igf2,-1.14843297998,-2.43967683819,1.84978388448,0.682627384817,10,12,,,,Igf2,-1.30529607638,-3.18395460876,1.86873965965,0.513610572986,11,12
Klhl33,-2.53390710717,-3.6959234614,-1.73723435964,2.70493334002e-05,11,11,,,,Klhl33,-2.27291771251,-3.64218396571,-1.41842229181,0.00128637368369,11,11,,,,Klhl33,-2.29471737906,-3.57227848753,-1.47405300795,0.000429143331164,11,12
Ktn1,-1.49685224383,-3.50352700504,1.56367900097,0.304088072198,11,12,,,,Ktn1,-1.52641950863,-2.98198903479,1.27984750526,0.171740483542,11,9,,,,Ktn1,-1.56742046373,-3.46678249344,1.41109278029,0.223059457583,11,12
Mtap1a,-1.27737473245,-4.44663733846,2.72517921589,0.66718149134,11,11,,,,Mtap1a,-1.47892147663,-4.08042578746,1.86558590589,0.403795767515,11,11,,,,Mtap1a,-1.35270797397,-4.22972930918,2.31155629393,0.562833320444,11,11
Peli2,1.28552806893,-1.42515295135,2.3551827075,0.35469718363,9,12,,,,Peli2,-1.0109184821,-1.61138489169,1.57676515613,0.958566626402,10,12,,,,Peli2,1.17037421157,-1.4379668318,1.96969216036,0.496819773225,9,12
Plcxd2,1.51936892751,-1.14505673597,2.64334279285,0.107481486532,9,12,,,,Plcxd2,1.04338581669,-1.19738088289,1.30353344274,0.671147838207,10,11,,,,Plcxd2,1.23025666695,-1.13857487677,1.72326890303,0.191028778541,11,11
Prune2,-1.11073537957,-1.53011347816,1.24023056421,0.459839032329,9,11,,,,Prune2,-1.22901285004,-1.58579282324,1.04986534572,0.0759397504031,8,12,,,,Prune2,-1.03100947276,-1.43460818175,1.34960908249,0.833842490938,9,12
Sgcg,-81.8550772018,-456.724005172,-14.6702463366,0.000126629869624,11,11,,,,Sgcg,-71.1468152058,-459.211408936,-11.0229607005,0.000308451877728,11,12,,,,Sgcg,-81.2443398741,-479.197465593,-13.7743690973,0.00016932438174,11,11
Slc24a2,1.02317686965,-1.8813405827,1.96955834822,0.936555265189,9,12,,,,Slc24a2,-1.50642719773,-2.35197202038,1.03642016667,0.0439055724268,7,12,,,,Slc24a2,-1.18729857662,-2.07775058026,1.47391866287,0.477705685807,8,12
Slc25a37,1.11210688644,-1.82610682577,2.25849555343,0.741617424069,11,12,,,,Slc25a37,-1.0115663204,-1.95496030116,1.91050958174,0.969369026449,11,12,,,,Slc25a37,-1.0822377911,-1.99970830312,1.70734489183,0.773952597476,10,12
Slc39a14,1.29541707596,-1.66444838422,2.79311982271,0.455194478202,10,12,,,,Slc39a14,1.10585839971,-1.54678772097,1.89160197107,0.677517403626,10,12,,,,Slc39a14,1.19720842535,-1.63061093414,2.33716771918,0.550616933964,10,12
