gapdh,,,,,,,hprt,,,,,,,geomean
name,foldchange,error,p-value,,,,name,foldchange,error,p-value,,,,name,foldchange,error,p-value
Beta-s,1.44965971087,0.477360903278,0.229674166113,,,,Beta-s,1.63014466481,0.363591030606,0.0378832627642,,,,Beta-s,1.51807632954,0.412156810259,0.119936257941
Cbx7,1.14529105973,0.348397106109,0.629443588338,,,,Cbx7,1.12366679059,0.214804875453,0.54743482216,,,,Cbx7,1.1993430149,0.318476993547,0.470710020983
CTXN1,1.42922999331,0.293295413311,0.11183251703,,,,CTXN1,1.59054788858,0.200278808326,0.00712825465586,,,,CTXN1,1.49035005191,0.227006669696,0.0284262553654
Ddit4,1.30715350327,0.419402568532,0.370518883171,,,,Ddit4,1.4698962063,0.462036109077,0.196877795012,,,,Ddit4,1.36884454849,0.410705426011,0.269460776836
DMXL1,-1.02303616263,0.260190191775,0.925622877628,,,,DMXL1,1.09918069508,0.178870451865,0.558914242942,,,,DMXL1,1.0236147939,0.208749401851,0.907051557441
FABp7,1.21640111813,0.380115431262,0.508214892033,,,,FABp7,1.30747713252,0.227177010348,0.154712529078,,,,FABp7,1.24937393774,0.304678175264,0.360133003874
Glo1,-1.08029742865,0.290872703862,0.759850399322,,,,Glo1,1.04091851976,0.154002682449,0.784838069944,,,,Glo1,-1.0316106164,0.211714684674,0.875480400009
Gucy2f,-1.56839148486,0.373553687131,0.0700659476244,,,,Gucy2f,-1.53497407113,0.149991885262,0.00169826493857,,,,Gucy2f,-1.49770726427,0.27367813557,0.0426407001468
Igf2,1.14983637124,0.26610649237,0.534150256618,,,,Igf2,1.29299283958,0.371257777571,0.355004180365,,,,Igf2,1.20410284216,0.285107495502,0.423919332999
Klhl33,-7.18150250401,1.87232394921,7.65252514275e-05,,,,Klhl33,-6.72273191147,2.12273973542,0.000499461557429,,,,Klhl33,-6.85784676366,1.85174001905,0.000173488636114
Ktn1,-1.0265878869,0.262539911497,0.913391587536,,,,Ktn1,1.09537781877,0.166820884474,0.54868668178,,,,Ktn1,-1.08542683502,0.181932362298,0.630734268216
LIM2,1.0433952092,0.100304220141,0.670430755206,,,,LIM2,1.22542799415,0.137130913033,0.108903938131,,,,LIM2,1.0540868974,0.0875649506941,0.544773395647
NALCN,2.02892324125,0.672544984341,0.0330277644318,,,,NALCN,2.28152743174,0.842745841975,0.0297466290397,,,,NALCN,2.12467817372,0.704957949505,0.0261661988411
PTPRT,-1.40212896109,0.25720082943,0.0945134417443,,,,PTPRT,-1.1447241606,0.20438068142,0.45073711649,,,,PTPRT,-1.22923066961,0.21861484558,0.249546992369
RNPS1,-1.10847130879,0.163221137613,0.488234604994,,,,RNPS1,1.01446162063,0.116152620814,0.900569334533,,,,RNPS1,-1.12828008052,0.100361551618,0.21353452951
Samd7,1.02050674249,0.173065783802,0.903660220397,,,,Samd7,1.24073109819,0.164435422496,0.13391049302,,,,Samd7,1.06866950795,0.152449196768,0.641621070172
Sgcg,-55.8671597524,119.541585692,0.0032623912386,,,,Sgcg,-51.9755748677,107.364147233,0.00315869646188,,,,Sgcg,-54.3927430664,113.885165288,0.00319783052743
Slc25a37,1.23578568891,0.555256272954,0.590207170565,,,,Slc25a37,1.29941038714,0.650233157516,0.527898213416,,,,Slc25a37,1.25757092459,0.530401475613,0.543074129172
Srebf1,1.02303616263,0.153095933569,0.87861822909,,,,Srebf1,1.15040580207,0.095570750764,0.114323172129,,,,Srebf1,1.07131830395,0.105096818598,0.49242136587
