Sample,Genotype,Gene,Ct,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
5_3,KO,Atp2b2,19.01,19.095,9.795,9.27125,0.47625,0.71884369,-1.391123014,,,1.57,1.47625,-0.12,1.086734863,-0.920187651
5_3,KO,Atp2b2,19.18,,,,,,,,,,,,,
6_3,KO,Atp2b2,18.65,18.845,10.085,,,,,,,1.37,,,,
6_3,KO,Atp2b2,19.04,,,,,,,,,,,,,
7_5,KO,Atp2b2,19.28,19.33,11.015,,,,,,,1.405,,,,
7_5,KO,Atp2b2,19.38,,,,,,,,,,,,,
7_7,KO,Atp2b2,19.16,19.25,6.19,,,,,,,1.56,,,,
7_7,KO,Atp2b2,19.34,,,,,,,,,,,,,
5_1,WT,Atp2b2,19.9,19.62,6.64,8.795,,,,,,1.88,1.59625,,,
5_1,WT,Atp2b2,19.34,,,,,,,,,,,,,
6_4,WT,Atp2b2,19.07,19.075,11.19,,,,,,,1.4,,,,
6_4,WT,Atp2b2,19.08,,,,,,,,,,,,,
7_1,WT,Atp2b2,19.05,19.115,11.005,,,,,,,1.525,,,,
7_1,WT,Atp2b2,19.18,,,,,,,,,,,,,
7_2,WT,Atp2b2,18.97,19.04,6.345,,,,,,,1.58,,,,
7_2,WT,Atp2b2,19.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Bsn,19.24,19.18,9.88,9.3975,0.55375,0.681247058,-1.467896247,,,1.655,1.6025,-0.0425,1.029896957,-0.970970924
5_3,KO,Bsn,19.12,,,,,,,,,,,,,
6_3,KO,Bsn,19.08,19.11,10.35,,,,,,,1.635,,,,
6_3,KO,Bsn,19.14,,,,,,,,,,,,,
7_5,KO,Bsn,19.37,19.415,11.1,,,,,,,1.49,,,,
7_5,KO,Bsn,19.46,,,,,,,,,,,,,
7_7,KO,Bsn,19.22,19.32,6.26,,,,,,,1.63,,,,
7_7,KO,Bsn,19.42,,,,,,,,,,,,,
5_1,WT,Bsn,19.38,19.42,6.44,8.84375,,,,,,1.68,1.645,,,
5_1,WT,Bsn,19.46,,,,,,,,,,,,,
6_4,WT,Bsn,19.18,19.13,11.245,,,,,,,1.455,,,,
6_4,WT,Bsn,19.08,,,,,,,,,,,,,
7_1,WT,Bsn,19.3,19.345,11.235,,,,,,,1.755,,,,
7_1,WT,Bsn,19.39,,,,,,,,,,,,,
7_2,WT,Bsn,18.75,19.15,6.455,,,,,,,1.69,,,,
7_2,WT,Bsn,19.55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Chordc1,19.08,19.11,9.81,9.4075,0.375,0.771105413,-1.296839555,,,1.585,1.6125,-0.22125,1.165743189,-0.857821868
5_3,KO,Chordc1,19.14,,,,,,,,,,,,,
6_3,KO,Chordc1,19.28,19.31,10.55,,,,,,,1.835,,,,
6_3,KO,Chordc1,19.34,,,,,,,,,,,,,
7_5,KO,Chordc1,19.24,19.325,11.01,,,,,,,1.4,,,,
7_5,KO,Chordc1,19.41,,,,,,,,,,,,,
7_7,KO,Chordc1,19.31,19.32,6.26,,,,,,,1.63,,,,
7_7,KO,Chordc1,19.33,,,,,,,,,,,,,
5_1,WT,Chordc1,19.49,19.505,6.525,9.0325,,,,,,1.765,1.83375,,,
5_1,WT,Chordc1,19.52,,,,,,,,,,,,,
6_4,WT,Chordc1,19.39,19.41,11.525,,,,,,,1.735,,,,
6_4,WT,Chordc1,19.43,,,,,,,,,,,,,
7_1,WT,Chordc1,19.33,19.475,11.365,,,,,,,1.885,,,,
7_1,WT,Chordc1,19.62,,,,,,,,,,,,,
7_2,WT,Chordc1,19.32,19.41,6.715,,,,,,,1.95,,,,
7_2,WT,Chordc1,19.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Colec12,24.26,24.485,15.185,14.78625,0.59875,0.660325836,-1.514403867,,,6.96,6.99125,0.0025,0.998268633,-1.00173437
5_3,KO,Colec12,24.71,,,,,,,,,,,,,
6_3,KO,Colec12,24.16,24.295,15.535,,,,,,,6.82,,,,
6_3,KO,Colec12,24.43,,,,,,,,,,,,,
7_5,KO,Colec12,25.2,25.095,16.78,,,,,,,7.17,,,,
7_5,KO,Colec12,24.99,,,,,,,,,,,,,
7_7,KO,Colec12,24.52,24.705,11.645,,,,,,,7.015,,,,
7_7,KO,Colec12,24.89,,,,,,,,,,,,,
5_1,WT,Colec12,24.9,24.68,11.7,14.1875,,,,,,6.94,6.98875,,,
